16.9,Plantation of other edible nuts n.e.c.,,,,,,,,,,,,
17,Growing of fruits,,,,,,,,,,,,
17.1,Growing of apples,,,,,,,,,,,,
17.2,Growing of bananas,,,,,,,,,,,,
17.3,Growing of grapes,,,,,,,,,,,,
17.4,Growing of mangoes,,,,,,,,,,,,
17.5,Growing of oranges,,,,,,,,,,,,
17.6,Growing of pears,,,,,,,,,,,,
17.9,Growing of other fruits n.e.c.,,,,,,,,,,,,
18,"Growing of ganja, cinchona and opium etc.",,,,,,,,,,,,
19,Plantations not elsewhere classified,,,,,,,,,,,,
19.1,Plantation of betel leaves (Pan),,,,,,,,,,,,
19.2,Plantation of cocoa,,,,,,,,,,,,
19.9,Other plantations n.e.c.,,,,,,,,,,,,
20,"Cattle breeding, rearing and ranching etc.; production of milk",,,,,,,,,,,,
21,"Goat breeding, rearing, ranching etc.; production of milk",,,,,,,,,,,,
22,Rearing of sheep and production of shorn wool,,,,,,,,,,,,
23,"Rearing of horses, mules, camels and other pack animals",,,,,,,,,,,,
24,Rearing of pigs and other animals not elsewhere classified,,,,,,,,,,,,
25,"Rearing of ducks,hens and other birds;production of eggs.",,,,,,,,,,,,
26,"Rearing of bees, production of honey and wax [Collection of honey is classified in group 054]",,,,,,,,,,,,
27,"Rearing of silk-worms, production of cocoons and raw silk",,,,,,,,,,,,
29,"Rearing of livestock and production of livestock products, not elsewhere classified",,,,,,,,,,,,
30,"Pest destroying, spraying and pruning of infected stems, etc.",,,,,,,,,,,,
31,Operation of irrigation systems,,,,,,,,,,,,
32,Animal shearing and livestock services n.e.c. (other than veterinary services),,,,,,,,,,,,
33,Grading of agricultural products and livestock,,,,,,,,,,,,
34,Horticulture and nursery services,,,,,,,,,,,,
35,Soil conservation services,,,,,,,,,,,,
36,Scientific services like soil testing,,,,,,,,,,,,
37,Soil desalination services,,,,,,,,,,,,
39,"Agricultural services not elsewhere classified (like harvesting and threshing, land clearing and land draining services",,,,,,,,,,,,
39.1,Harvesting and threshing services,,,,,,,,,,,,
39.9,Other agricultural services n.e.c.,,,,,,,,,,,,
40,"Hunting, trapping and game propagation other than for sports.",,,,,,,,,,,,
50,"Planting,replanting and conservation of forests",,,,,,,,,,,,
50.1,"Planting,replanting and conservation of forests on government land",,,,,,,,,,,,
50.2,"Planting,replanting and conservation of forests on community land",,,,,,,,,,,,
50.3,"Planting,replanting and conservation of forests on private land (farm forestry)",,,,,,,,,,,,
51,"Logging - felling and cutting of trees and preparation of rough, round, hewn or riven logs (including incidental hauling",,,,,,,,,,,,
52,Production of firewood/ fuel wood (including charcoal by burning) by exploitation of forests,,,,,,,,,,,,
53,Gathering of fodder by exploitation of forests,,,,,,,,,,,,
54,"Gathering of uncultivated materials such as gums, resins, lac, barks, munjh, herbs, honey,wild fruits, leaves, etc. by exploitation of forests.",,,,,,,,,,,,
59,Forestry services n.e.c.,,,,,,,,,,,,
60,"Ocean ,sea, and coastal fishing",,,,,,,,,,,,
61,Inland water fishing,,,,,,,,,,,,
62,"Pisciculture - rearing of fish, including fish hatcheries",,,,,,,,,,,,
63,"Collection of pearls, conches, shells, sponges and other sea products.",,,,,,,,,,,,
64,Cultivation of oysters for pearls,,,,,,,,,,,,
69,Other allied activities and services incidental to fishing n.e.c.,,,,,,,,,,,,
100,Mining and agglomeration of coal,,,,,,,,,,,,
100.1,Underground mining,,,,,,,,,,,,
100.2,Open cuts(strips) mining,,,,,,,,,,,,
101,Mining and agglomeration of lignite,,,,,,,,,,,,
102,Extraction and agglomeration of peat,,,,,,,,,,,,
110,extraction of crude petroleum,,,,,,,,,,,,
110.1,Off-shore,,,,,,,,,,,,
110.2,On-shore,,,,,,,,,,,,
111,Production of natural gas,,,,,,,,,,,,
111.1,Off-shore,,,,,,,,,,,,
111.2,On-shore,,,,,,,,,,,,
120,Mining of iron ore,,,,,,,,,,,,
130,Mining of manganese ore,,,,,,,,,,,,
131,Mining of chromite,,,,,,,,,,,,
132,Mining of Bauxite,,,,,,,,,,,,
133,Mining of precious/ semi-precious metal ores,,,,,,,,,,,,
134,Mining of copper ore,,,,,,,,,,,,
135,Mining of lead and zinc ores,,,,,,,,,,,,
136,"Mining of ilmenite, rutile, zircon and zirconium bearing ores",,,,,,,,,,,,
136.1,Mining of ilmenite and rutile,,,,,,,,,,,,
136.2,Mining of zircon and zirconium bearing ores,,,,,,,,,,,,
137,Mining of wolfram and other tungsten bearing ores,,,,,,,,,,,,
138,Mining of tin bearing ores,,,,,,,,,,,,
139,Mining of metal ores other than iron ore or uranium group ores n.e.c.,,,,,,,,,,,,
140,Mining of uranium and thorium ores,,,,,,,,,,,,
140.1,Mining of uranium ores,,,,,,,,,,,,
140.2,Mining of monazite and thorium ores,,,,,,,,,,,,
150,"Mining and quarrying of rock aggregates, sand and clays",,,,,,,,,,,,
150.1,Mining/quarrying of marble,,,,,,,,,,,,
150.2,Mining/quarrying of granite,,,,,,,,,,,,
150.3,Mining/quarrying of slate-stone,,,,,,,,,,,,
150.4,"Mining/quarrying of sand-stone and other building/construction materials of mineral/rock origin, n.e.c.",,,,,,,,,,,,
151,"Mining/quarrying of minerals for construction other than rock aggregates,sand and clays(classified in group150)",,,,,,,,,,,,
151.1,"Mining/quarrying of limestone,limeshell,'kankar' and other calcareous materials",,,,,,,,,,,,
151.2,Mining of asbestos,,,,,,,,,,,,
151.3,Mining of gypsum including salenite,,,,,,,,,,,,
151.4,Mining of vermiculite,,,,,,,,,,,,
151.5,Mining of yellow and red ochre and red oxides,,,,,,,,,,,,
151.9,"Mining of other minerals for construction, n.e.c.",,,,,,,,,,,,
152,Mining of fertilizer and chemicals minerals,,,,,,,,,,,,
152.1,Mining of apatite and natural phosphate minerals,,,,,,,,,,,,
152.2,Mining of flourspar(flourite),,,,,,,,,,,,
152.3,Mining of iron pyrites,,,,,,,,,,,,
152.4,Mining of potash bearing minerals/salts,,,,,,,,,,,,
152.5,Mining of sulphur,,,,,,,,,,,,
152.9,"Mining of other fertilizer and chemical minerals ,n.e.c.",,,,,,,,,,,,
153,"Mining of ceramic, refractory and glass minerals",,,,,,,,,,,,
153.1,Mining of chinaclay (kaolin) and ballclay,,,,,,,,,,,,
153.2,Mining of fireclay,,,,,,,,,,,,
153.3,"Mining of sillimanite, kyanite and andalusite",,,,,,,,,,,,
153.4,Mining of diaspore,,,,,,,,,,,,
153.5,Mining of magnesite,,,,,,,,,,,,
153.6,Mining of dolomite,,,,,,,,,,,,
153.7,Mining of graphite,,,,,,,,,,,,
153.8,"Mining of Felspar and silica minerals (quartz, silica sand, quartzite, etc.)",,,,,,,,,,,,
153.9,"Mining of calcite (including chalk), wollastonite and other ceramic, refractory and glass minerals, n.e.c.",,,,,,,,,,,,
154,"Salt mining/quarrying and screening, etc.",,,,,,,,,,,,
154.1,"Salt mining/quarrying and screening, etc.",,,,,,,,,,,,
154.2,Production of salt by evaporating in pans,,,,,,,,,,,,
155,Mining of mica,,,,,,,,,,,,
156,Mining of precious/semi-precious stones,,,,,,,,,,,,
156.1,Mining of agate,,,,,,,,,,,,
156.2,Mining of diamond,,,,,,,,,,,,
156.3,Mining of emerald,,,,,,,,,,,,
156.4,Mining of ruby,,,,,,,,,,,,
156.5,Mining of sapphire,,,,,,,,,,,,
156.9,Mining of other precious/semi-precious stones n.e.c.,,,,,,,,,,,,
159,Mining of other non-metallic minerals not elsewhere classified,,,,,,,,,,,,
159.1,Mining of barytes,,,,,,,,,,,,
159.2,Mining of steatite and pyrophyllite,,,,,,,,,,,,
159.3,mining of diatomite and diatomaceous earths,,,,,,,,,,,,
159.4,Mining of bentonite and fullers earth,,,,,,,,,,,,
159.5,Mining of garnet,,,,,,,,,,,,
159.6,Mining of corundum,,,,,,,,,,,,
159.9,Mining of other non-metallic minerals not elsewhere classified,,,,,,,,,,,,
190,"Oil and gas field services, except exploration services [exploration services are classified in group 894]",,,,,,,,,,,,
191,"Services incidental to mining such as drilling, shafting,reclamation of mines , etc.",,,,,,,,,,,,
199,Other mining services not elsewhere classified,,,,,,,,,,,,
200,"Slaughtering, preparation and preservation of meat",,,,,,,,,,,,
200.1,"Mutton-slaughtering, preparation",,,,,,,,,,,,
200.2,"Beef-slaughtering, preparation",,,,,,,,,,,,
200.3,"Pork-slaughtering, preparation",,,,,,,,,,,,
200.4,"Poultry and other slaughtering, preparation",,,,,,,,,,,,
200.5,Preservation of meats except by canning,,,,,,,,,,,,
200.6,Processing and canning of meat,,,,,,,,,,,,
201,Manufacture of dairy products,,,,,,,,,,,,
201.1,"Manufacture of milk powder, ice-cream powder and condensed milk except baby milk foods",,,,,,,,,,,,
201.2,Manufacture of baby milk foods,,,,,,,,,,,,
201.3,"Manufacture of butter, cream, ghee, cheese, and khoya etc.",,,,,,,,,,,,
201.4,Manufacture of pasteurised milk whether or not in bottles/ polythene packs etc. (pain or flavoured),,,,,,,,,,,,
201.5,Manufacture of ice-cream and kulfi etc.,,,,,,,,,,,,
201.9,Manufacture of other dairy products n.e.c.,,,,,,,,,,,,
202,Canning and preservation of fruits and vegetables,,,,,,,,,,,,
202.1,Sun-drying of fruits and vegetables,,,,,,,,,,,,
202.2,Artificial dehydration of fruits and vegetables,,,,,,,,,,,,
202.3,Radiation preservation of fruits and vegetables,,,,,,,,,,,,
202.4,"Manufacture of fruits/ vegetables juices and their concentrates, squashes and powders",,,,,,,,,,,,
202.5,"Manufacture of sauces, jams, jellies, and marmalades, etc.",,,,,,,,,,,,
202.6,"Manufacture of pickles, chutneys, murabbas etc.",,,,,,,,,,,,
202.7,Canning of fruits and vegetables,,,,,,,,,,,,
202.9,Fruits and vegetable preservation n.e.c.,,,,,,,,,,,,
203,"Processing, canning, and preservation of fish, crustacea and similar foods",,,,,,,,,,,,
203.1,Sun-drying of fish,,,,,,,,,,,,
203.2,Radiation preservation of fish and similar foods,,,,,,,,,,,,
203.4,Processing and canning of fish,,,,,,,,,,,,
203.5,Manufacture of fish meal,,,,,,,,,,,,
203.6,Processing and canning of froglegs,,,,,,,,,,,,
203.9,Processing and preserving of fish crustacea and similar foods n.e.c.,,,,,,,,,,,,
204,Grain milling,,,,,,,,,,,,
204.1,Flour milling by power machine,,,,,,,,,,,,
204.2,Rice milling by power machine,,,,,,,,,,,,
204.3,dal milling by power machine,,,,,,,,,,,,
204.4,Processing and grinding of grain manually,,,,,,,,,,,,
204.9,Other grain milling and processing activities n.e.c.,,,,,,,,,,,,
205,Manufacture of Bakery Products,,,,,,,,,,,,
205.1,Bread making,,,,,,,,,,,,
205.2,"Manufacture of biscuits, cakes and pastries",,,,,,,,,,,,
205.9,Manufacture of other bakery products n.e.c.,,,,,,,,,,,,
206,Manufacture and refining of sugar (vacuum pan sugar factories),,,,,,,,,,,,
207,"Production of indigenous sugar, boora, khandsari, gur, etc. from sugar-cane, palm juice , etc.",,,,,,,,,,,,
207.1,"Manufacture of gur, from sugar cane",,,,,,,,,,,,
207.2,Manufacture of gur from other than sugar cane,,,,,,,,,,,,
207.3,Manufacture of khandsari from sugar-cane,,,,,,,,,,,,
207.4,Manufacture of khandsari from other than sugar-cane,,,,,,,,,,,,
207.5,Manufacture of boora and candy from sugar-cane,,,,,,,,,,,,
207.6,Manufacture of boora and candy from sugar-cane,,,,,,,,,,,,
207.9,Manufacture of other indigenious sugar-cane/ sugar beet/ palm juice products n.e.c.,,,,,,,,,,,,
208,Production of common salt,,,,,,,,,,,,
209,Manufacture of cocoa products and sugar confectionery (including sweetmeats),,,,,,,,,,,,
209.1,Manufacture of cocoa products,,,,,,,,,,,,
209.2,Manufacture of sugar confectionery (except sweetmeats),,,,,,,,,,,,
209.3,Manufacture of sweetmeats,,,,,,,,,,,,
210,Manufacture of hydrogenated oils and vanaspati ghee etc.,,,,,,,,,,,,
211,Manufacture of vegetable oils and fats (other than hydrogenated),,,,,,,,,,,,
211.1,manufacture of vegetable oils and fats through 'ghanis',,,,,,,,,,,,
211.2,Manufacture of vegetable oils and fats through expellers,,,,,,,,,,,,
211.3,Manufacture of vegetable oils and fats through solvent extraction process,,,,,,,,,,,,
212,"Manufacture of animal oils and fats , manufacture of fish oil",,,,,,,,,,,,
212.1,Manufacture of animal oils and fats (rendering and refining of lard and other edible animal fats is classified in group 200),,,,,,,,,,,,
212.2,Manufacture of fish oil,,,,,,,,,,,,
213,Processing and blending of tea including manufacture of instant tea,,,,,,,,,,,,
213.1,Processing and blending of tea,,,,,,,,,,,,
213.2,Manufacture of instant tea,,,,,,,,,,,,
214,"Coffee curing, roasting, grinding and blending etc. including manufacture of instant coffee",,,,,,,,,,,,
214.1,Coffee curing,,,,,,,,,,,,
214.2,"Coffee roasting, grinding and blending etc",,,,,,,,,,,,
214.3,Manufacture of instant coffee,,,,,,,,,,,,
215,Processing of edible nuts,,,,,,,,,,,,
215.1,"Processing of cashes nuts (activities included are drying, shelling, roasting, frying and salting etc.)",,,,,,,,,,,,
215.2,Processing of groundnuts (see note for 215.1),,,,,,,,,,,,
215.9,Processing of other edible nuts n.e.c. (see note for 215.1),,,,,,,,,,,,
216,Manufacture of ice,,,,,,,,,,,,
217,Manufacture of prepared animal and bird feed,,,,,,,,,,,,
217.1,Manufacture of cattle feed,,,,,,,,,,,,
217.2,Manufacture of poultry feed,,,,,,,,,,,,
217.9,Manufacture of other animal and bird feed,,,,,,,,,,,,
218,Manufacture of food products not elsewhere classified,,,,,,,,,,,,
219.1,manufacture of malted foods,,,,,,,,,,,,
219.2,Grinding and processing of spices,,,,,,,,,,,,
219.3,"Manufacture of papads, appalam and similar food products",,,,,,,,,,,,
219.4,manufacture of semi-processed foods and instant foods except malted foods,,,,,,,,,,,,
219.5,Manufacture of sago and sago products,,,,,,,,,,,,
219.6,Manufacture of vitaminised high protein flour (multi-purpose foods),,,,,,,,,,,,
219.7,Frying of dals and other cereals n.e.c.,,,,,,,,,,,,
219.9,"Other food processing and manufacturing activities like manufacture of egg powder, sambar powder etc. n.e.c.",,,,,,,,,,,,
220,"Distilling, rectifying and blending of spirits, ethyl alcohol production from fermented materials",,,,,,,,,,,,
221,Manufacture of wines,,,,,,,,,,,,
222,Manufacture of malt liquors and malt,,,,,,,,,,,,
222.1,Manufacture of beer,,,,,,,,,,,,
222.2,Manufacture of malt liquors other than beer,,,,,,,,,,,,
222.3,Manufacture of malt,,,,,,,,,,,,
223,Production of country liquor9arrack and toddy etc.),,,,,,,,,,,,
224,Manufacture of soft drinks and syrups,,,,,,,,,,,,
224.1,Manufacture of aerated drinks,,,,,,,,,,,,
224.2,Manufacture of synthetic flavoured concentrates and syrups,,,,,,,,,,,,
224.9,Manufacture of beverages n.e.c.,,,,,,,,,,,,
225,"Tobacco stemming, redrying and all other operations connected with preparing raw leaf tobacco",,,,,,,,,,,,
226,manufacture of bidi,,,,,,,,,,,,
227,"Manufacture of cigars, cigarettes, cheroots and cigarette tobacco",,,,,,,,,,,,
227.1,Manufacture of cigarette and cigarette tobacco,,,,,,,,,,,,
227.2,Manufacture of cigars and cheroots,,,,,,,,,,,,
228,"Manufacture of snuff, zarda, chewing tobacco and other tobacco products n.e.c. (except pan masala containing tobacco)",,,,,,,,,,,,
228.1,Manufacture of snuff,,,,,,,,,,,,
228.2,Manufacture of zarda,,,,,,,,,,,,
228.3,Manufacture of chewing tobacco,,,,,,,,,,,,
228.9,Manufacture of other tobacco products n.e.c.,,,,,,,,,,,,
229,"Manufacture of pan-masala, catechu(kattha) and chewing lime",,,,,,,,,,,,
229.1,Manufacture of pan-masala,,,,,,,,,,,,
229.2,Manufacture of catechu(kattha),,,,,,,,,,,,
229.3,Manufacture chewing lime,,,,,,,,,,,,
230,"Cotton ginning, cleaning and baling",,,,,,,,,,,,
231,Cotton spinning other than in mills (charkha),,,,,,,,,,,,
232,Weaving and finishing of cotton khadi,,,,,,,,,,,,
233,Weaving and finishing of cotton textiles on handlooms,,,,,,,,,,,,
234,Weaving and finishing of cotton textiles on powerlooms,,,,,,,,,,,,
235,"Cotton spinning, weaving and processing in mills",,,,,,,,,,,,
235.1,Cotton spinning in mills,,,,,,,,,,,,
235.2,Cotton spinning and weaving in mills,,,,,,,,,,,,
235.3,"Cotton, weaving and processing (shrinking mercerizing, bleaching, dyeing and printing in mills",,,,,,,,,,,,
235.4,"Composite cotton mills (spinning, weaving and processing)",,,,,,,,,,,,
236,"Bleaching, dyeing and printing of cotton textiles (This group includes bleaching, dyeing and printing of not self-produced cotton textiles. No distinction is to be between these activities carried out on a fee or contract basis or by purchasing the materials and selling the finished products. Bleaching, dyeing and printing of self-produced textiles in composite mills is classified in class 235.4)",,,,,,,,,,,,
236.1,Bleaching and dyeing of cloth and yarn by hand,,,,,,,,,,,,
236.2,Bleaching and dyeing of cloth and yarn other than by hand,,,,,,,,,,,,
236.3,Printing of cloth by hand,,,,,,,,,,,,
236.4,Printing of cloth other than by hand,,,,,,,,,,,,
236.5,"Bleaching, dyeing and printing of cloth other than by hand",,,,,,,,,,,,
240,"Preparation of raw wool, silk and artificial/synthetic textile fibres for spinning",,,,,,,,,,,,
240.1,"Preparatory operations on wool (cleaning, degreasing, carbonizing, carding, combing fleece dyeing, etc.)",,,,,,,,,,,,
240.2,"Preparatory operations on silk (throwing retching and reeling, etc.)",,,,,,,,,,,,
240.3,Preparatory operations on man-made textile fibres,,,,,,,,,,,,
241,"Wool spinning, weaving and finishing other than in mills",,,,,,,,,,,,
241.1,Wool spinning other than in mills (Charkha),,,,,,,,,,,,
241.2,Weaving and finishing of woolen khadi,,,,,,,,,,,,
241.3,Wool weaving and finishing on handlooms,,,,,,,,,,,,
241.4,Wool weaving and finishing on powerlooms,,,,,,,,,,,,
242,"Wool spinning, weaving and processing in mills",,,,,,,,,,,,
242.1,Wool Spinning in mills,,,,,,,,,,,,
242.2,Wool spinning and weaving in mills,,,,,,,,,,,,
242.3,Wool Weaving and processing (bleaching and dyeing) in mills,,,,,,,,,,,,
242.4,"Composite woolen mills (spinning, weaving and processing)",,,,,,,,,,,,
243,Bleaching and dyeing of woolen textiles,,,,,,,,,,,,
243.1,Bleaching and dyeing of woolen textiles by hand,,,,,,,,,,,,
243.2,Bleaching and dyeing of woolen textiles other than by hand,,,,,,,,,,,,
244,"Spinning, weaving and finishing of silk textiles other than in mills",,,,,,,,,,,,
244.1,"Spinning of silk, other than in mills",,,,,,,,,,,,
244.2,Weaving and finishing of silk khadi,,,,,,,,,,,,
244.3,Weaving and finishing of silk on handlooms,,,,,,,,,,,,
244.4,Weaving and finishing of silk on powerlooms,,,,,,,,,,,,
245,"Spinning, weaving and processing of silk textiles in mills",,,,,,,,,,,,
245.1,Spinning of silk in mills,,,,,,,,,,,,
245.2,Spinning and weaving of silk in mills,,,,,,,,,,,,
245.3,"Weaving and processing (bleaching, dyeing, and printing) of silk in mills",,,,,,,,,,,,
245.4,"Composite silk mills (spinning, weaving and processing)",,,,,,,,,,,,
246,"Bleaching, dyeing and printing of silk textiles",,,,,,,,,,,,
246.1,"Bleaching, dyeing and printing of silk textiles by hand",,,,,,,,,,,,
246.2,"Bleaching, dyeing and printing of silk textiles other than by hand",,,,,,,,,,,,
247,"Spinning, weaving and processing of man-made textile fibres",,,,,,,,,,,,
247.1,Spinning of staple fibres in mills,,,,,,,,,,,,
247.2,Spinning of staple fibres and weaving of artificial/synthetic textile fabrics in mills,,,,,,,,,,,,
247.3,"Weaving and processing (bleaching, dyeing and printing) of artificial/synthetic textile fabrics in mills",,,,,,,,,,,,
247.4,"Composite artificial textile fibre mills (spinning, weaving and processing)",,,,,,,,,,,,
247.5,Weaving and finishing of artificial/synthetic textile fabrics on handlooms,,,,,,,,,,,,
247.6,Weaving and finishing of artificial/synthetic textile fabrics on powerlooms,,,,,,,,,,,,
248,"Bleaching, dyeing and printing of artificial/synthetic textile fabrics",,,,,,,,,,,,
248.1,"Bleaching, dyeing and printing of artificial/synthetic textile fabrics by hand",,,,,,,,,,,,
248.2,"Bleaching, dyeing and printing of artificial/synthetic textile fabrics other than by hand",,,,,,,,,,,,
250,Jute and mesta pressing and baling,,,,,,,,,,,,
251,Preparatory operations (including carding and combing) on jute and mesta fibres,,,,,,,,,,,,
252,Preparatory operations (including carding and combing) on coir fibres,,,,,,,,,,,,
253,Preparatory operations (including carding and combing) on sann hemp and other vegetable fibres n.e.c.,,,,,,,,,,,,
254,"Spinning, weaving and finishing of jute and mesta textiles",,,,,,,,,,,,
255,"Spinning, weaving and finishing of coir textiles",,,,,,,,,,,,
256,"Spinning, weaving and finishing of sann hemp and other vegetable fibre textiles n.e.c.",,,,,,,,,,,,
257,"Bleaching, dyeing and printing of jute and mesta textiles",,,,,,,,,,,,
258,"Bleaching, dyeing and printing of coir textiles",,,,,,,,,,,,
259,"Bleaching, dyeing and printing of other vegetable fibre textiles n.e.c.",,,,,,,,,,,,
260,Manufacture of knitted or crocheted textile products,,,,,,,,,,,,
260.1,Manufacture of knitted or crocheted cotton textile products in mills,,,,,,,,,,,,
260.2,Manufacture of knitted or crocheted woolen textile products in mills,,,,,,,,,,,,
260.3,Manufacture of knitted or crocheted synthetic textile products in mills,,,,,,,,,,,,
260.4,Manufacture of knitted or crocheted textile products other than in mills,,,,,,,,,,,,
261,"Manufacture of all types of threads, cordage, ropes, twines and nets, etc.",,,,,,,,,,,,
261.1,"Manufacture of thread, including thread ball making",,,,,,,,,,,,
261.2,Manufacture of Jute/hemp rope and cordage,,,,,,,,,,,,
261.3,Manufacture of coir rope and cordage,,,,,,,,,,,,
261.4,Manufacture of other rope and cordage other of jute/mesta and coir,,,,,,,,,,,,
261.5,Manufacture of nets(except mosquito nets),,,,,,,,,,,,
261.5,Manufacture of nets(except mosquito nets),,,,,,,,,,,,
261.6,"Manufacture of tapes, niwar and wicks, etc.",,,,,,,,,,,,
261.9,"Manufacture of other cordage, rope, nets etc. n.e.c.",,,,,,,,,,,,
262,"Embroidery work, zari work and making of ornamental trimmings",,,,,,,,,,,,
262.1,Embroidery work by hand,,,,,,,,,,,,
262.2,Embroidery work other than by hand,,,,,,,,,,,,
262.3,Zari work by hand,,,,,,,,,,,,
262.4,Zari work other than by hand,,,,,,,,,,,,
262.5,Making of laces and fringes by hand,,,,,,,,,,,,
262.6,Making of laces and fringes other than by hand,,,,,,,,,,,,
262.9,Making of other ornamental trimming n.e.c.,,,,,,,,,,,,
263,"Manufacture of blankets, shawls, carpets, rugs, and other similar textile products",,,,,,,,,,,,
263.1,Manufacture of blankets and shawls by hand,,,,,,,,,,,,
263.2,Manufacture of blankets and shawls other than by hand,,,,,,,,,,,,
263.3,Manufacture of cotton carpets by hand,,,,,,,,,,,,
263.4,Manufacture of woolen carpets by hand,,,,,,,,,,,,
263.5,Manufacture of silk carpets by hand,,,,,,,,,,,,
263.6,"Manufacture of cotton, woolen and silk carpets other than by hand",,,,,,,,,,,,
263.7,"Manufacture of durries, druggets and rugs by hand",,,,,,,,,,,,
263.8,"Manufacture of durries, druggets and rugs other than by hand",,,,,,,,,,,,
263.9,Manufacture of other textile floor covering ( including felts) n.e.c.,,,,,,,,,,,,
264,"Manufacture of floor coverings of jute, mesta sann-hemp and other kindled fibres and of coir",,,,,,,,,,,,
264.1,"Manufacture of carpets, rugs and other floor coverings of jute and mesta",,,,,,,,,,,,
264.2,Manufacture of floor coverings of coir,,,,,,,,,,,,
264.9,"Manufacture of floor coverings of sann-hemp and other kindred fibres; of grass, paddystraw, tree leaves, and other vegetable materials n.e.c.",,,,,,,,,,,,
265,"Manufacture of all types of textile garments and clothing accessories n.e.c. (except by purely tailoring establishments) from not self-produced material(Note: in principle, the raw material is cut and sewn together in the establishments covered in this group)",,,,,,,,,,,,
266,"Manufacture of rain coats, hats, caps and school bags etc. from waterproof textile fabrics or plastic sheetings",,,,,,,,,,,,
266.1,Manufacture of rain coats of waterproof textile fabrics or plastic sheetings,,,,,,,,,,,,
266.2,Manufacture of hats and caps from waterproof,,,,,,,,,,,,
267,Manufacture of made-up textile articles, except apparel,,,,,,,,,,,
267.1,"Manufacture of curtains, bed-covers and furnishings – hand printed",,,,,,,,,,,,
267.2,"Manufacture of curtains, bed-covers and furnishings – hand embroidered",,,,,,,,,,,,
267.3,"Manufacture of curtains, bed-covers and furnishings – other than hand embroidered or hand printed",,,,,,,,,,,,
267.4,"Manufacture of crocheted made-up textile goods, except apparel",,,,,,,,,,,,
267.5,Manufacture of mosquito nets,,,,,,,,,,,,
267.6,"Manufacture of bedding, quilts, pillows etc.",,,,,,,,,,,,
267.7,Manufacture of coir from mattresses and pillows etc.,,,,,,,,,,,,
267.9,Manufacture of other made-up textile goods except apparel n.e.c..,,,,,,,,,,,,
268,Manufacture of waterproof textile fabrics,,,,,,,,,,,,
268.1,Manufacture of oil-cloth,,,,,,,,,,,,
268.2,Manufacture of rubberized cloth,,,,,,,,,,,,
268.3,Manufacture of tarpaulin,,,,,,,,,,,,
268.4,Manufacture of artificial leather/foam leather and other substitutes of leather,,,,,,,,,,,,
268.9,Manufacture of other waterproof textiles n.e.c.,,,,,,,,,,,,
269,"Manufacture of textiles/textile products not elsewhere classified like linoleum, padding wadding, upholstering and filling, etc.",,,,,,,,,,,,
269.1,Manufacture of linoleum and similar products,,,,,,,,,,,,
269.2,Manufacture of gas mantles,,,,,,,,,,,,
